OTU	SA_D070	SA_D061	SA_D080	SA_D063	SA_D075	SA_D053	SA_D057	SA_D078	SA_D062	SA_D068	SA_D060	SA_D076	SA_D071	SA_D085	SA_D059	SA_D058	SA_D067	SA_D098	SA_D097	SA_D066	SA_D072	SA_D065	SA_D064	SA_D090	SA_D089	SA_D091	SA_D073	SA_D079	SA_D074	SA_D084	SA_D077	SA_D096	SA_D069	SA_D083	SA_D056	SA_D054	SA_D095	SA_D081	SA_D086	SA_D100	SA_D088	SA_D092	SA_D093	SA_D055	SA_D099	SA_D082	SA_D094	SA_D087
ASV_120	0	1951	11879	2638	10965	3631	16812	15657	1492	0	0	6538	0	8779	0	21518	3639	5026	4280	22136	0	0	5573	99536	148796	49124	10076	12036	6916	2727	14246	20478	0	4348	17970	6579	19151	19535	3888	4129	0	13993	90926	11180	0	14111	60810	0
ASV_25	8507	0	990	117209	147208	0	34166	1539	0	5580	107628	115434	33462	0	92363	76434	2315	0	0	8181	6207	0	135808	0	1436	0	0	694	0	0	1653	0	22786	0	965	20623	0	16375	0	4301	21585	0	1281	0	4539	12510	0	13614
ASV_27	9580	47706	25737	7161	77305	45020	52062	25431	127140	66539	13917	78046	25700	49516	12297	49088	96920	57098	109914	100669	7531	69184	19216	31917	30449	81112	99744	47218	73424	62424	49351	112234	30077	115037	74629	141706	94747	81644	17973	7742	58580	51722	47282	146339	6651	79615	37919	45100
ASV_111	4828	31706	4839	43906	13706	0	35250	6426	27682	0	40515	25334	75721	0	32396	16811	16208	11259	31628	19826	19534	36553	23347	17409	11605	7388	145370	9027	81869	7032	10941	27879	20138	6918	8614	12652	34158	5114	0	32001	14617	5588	4464	16770	16354	7506	5547	10419
ASV_233	0	0	17928	0	0	0	0	127609	12432	109203	0	0	0	0	0	0	0	0	0	62942	0	0	0	141041	21257	2742	0	5864	4906	0	101142	0	2092	0	39802	0	0	0	0	0	0	1616	5621	0	0	0	4283	2890
ASV_187	1379	0	0	26004	16996	0	18981	0	0	0	0	20022	48123	0	1455	7621	0	0	0	0	6472	0	14700	0	0	0	0	0	0	0	551	0	9154	0	0	0	0	0	0	65894	83280	0	0	0	138895	0	0	63353
ASV_104	0	0	6819	0	136517	0	0	2444	0	20484	0	116865	0	37927	0	0	4631	0	0	6737	0	0	0	15391	11030	12643	5434	4861	4182	13489	3699	18035	3204	15516	13069	17334	14223	11893	34551	0	0	4480	38602	16053	0	13411	34478	0
ASV_633	0	976	0	134545	0	0	0	0	663	0	0	0	0	0	0	0	0	0	0	0	235	0	105975	0	0	0	1245	0	563	0	0	0	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	766	1366	2200	4334	21382	29771	26031	6788	1823	5510	45463	11237	16731	7375	83173	16363	82586	33575	40813	34262	3354	132662	5861	8200	12409	15232	79251	2623	31203	20091	22826	4455	1700	55740	5272	30366	6272	11319	4475	96174	39657	6835	26534	8170	65026	8857	15870	38712
ASV_15	0	0	0	0	129389	0	0	0	0	1413	15154	75390	32772	0	9917	0	0	0	0	0	14651	0	0	0	0	0	0	0	0	4018	0	0	0	4348	0	0	0	0	0	5333	45889	0	0	0	4226	0	0	30878
